ingredient,skin_type,effect,confidence
citrus aurantium var amara flower oil,dry,good,low
citrus bergamia esssential oil,dry,good,low
citrus bergamia peel oil,dry,good,low
citrus grandis,normal,neutral,low
citrus latifolia peel oil,dry,good,low
citrus lemon peel oil,dry,good,low
citrus limon peel oil citrus limon peel oil,dry,good,low
citrus limon peel oil lemon peel oil,dry,good,low
citrus nobilis flower oil,dry,good,low
citrus nobilis oil,dry,good,low
citrus nobilis peel oil mandarin orange peel oil,dry,good,low
citrus nobilis peeloil,dry,good,low
citrus paradisi oil,dry,good,low
citrus paradisi peel oil grapefruit peel oil,dry,good,low
citrus paradisii peel oil,dry,good,low
citrus reticulata leaf oil citrus reticulata leaf oil,dry,good,low
citrus sinensis oil,dry,good,low
citrus sinensis peel oil,dry,good,low
citrus sinensis peel oil expressed,dry,good,low
citrus sinesis oil,dry,good,low
citrus tachibana,normal,neutral,low
"citrus unshiu peel extract,sodium hyaluronate","dry,sensitive",good,medium
cl 77491,normal,neutral,low
cl 77891,normal,neutral,low
clay and sulfur,oily,good,low
clean retinol,wrinkle,good,medium
cleanse pores,normal,neutral,low
clear blemishes,normal,neutral,low
clear buildup,normal,neutral,low
cloudberry oil,dry,good,low
cn and e,normal,neutral,low
coastal plants,normal,neutral,low
coated silica,oily,good,low
coco caprylate,normal,neutral,low
cocoa butter+,dry,good,low
cocoa peptides,wrinkle,good,low
cocoa seed butter,dry,good,low
cocoa seeds,normal,neutral,low
coconut and baobab oils,dry,good,low
coconut and castor oils,dry,good,low
coconut fatty acid,normal,neutral,low
cocos nucifera oil [cocos nucifera oil],dry,good,low
cocos nucifera oil coconut oil,dry,good,low
cold pressed avocado) oil,dry,good,low
cold pressed concord grape) seed oil,dry,good,low
cold-pressed avocado) oil,dry,good,low
cold-pressed chia and blackberry seed oils,dry,good,low
cold-pressed chia seed oil,dry,good,low
cold-pressed grapeseed oil,"pigmentation,wrinkle",good,low
cold-pressed moringa oil,dry,good,low
collagen peptide,wrinkle,good,low
collagen-boosting peptide,wrinkle,good,low
colloidal oatmeal and avocado oil,dry,good,low
commiphora oil,dry,good,low
complex derived from meadowfoam seed,dry,good,low
concentrated fatty acids,normal,neutral,low
concentrated squalane,dry,good,medium
condition skin,normal,neutral,low
cooling encapsulation system,normal,neutral,low
"copolymer,ceramide np","dry,sensitive",good,medium
copper complex gluconate,,neutral,low
copper peptide,wrinkle,good,low
copper peptide ghk-cu,wrinkle,good,low
copper tripeptide,wrinkle,good,low
core spring complex,normal,neutral,low
coriander seed oil tocopherol lavandula angustifolia oil,"pigmentation,wrinkle",good,low
coriandrum sativum,normal,neutral,low
coriandrum sativum fruit oil,dry,good,low
coriandrum sativum oil coriander seed oil,dry,good,low
corn sugar,normal,neutral,low
corylus avellana seed oil,dry,good,low
corylus avellana seed oil corylus avellana seed oil,dry,good,low
cotton and linseed seed oils,dry,good,low
cotton seed oil,dry,good,low
cottonseed oil glycereth-8 esters,dry,good,low
coumarin – limonene,sensitive,avoid,low
croscarmellose sodium,normal,neutral,low
cross-linked hyaluronic acid,"dry,sensitive",good,medium
cucurbita pepo seed oil,dry,good,low
cupressus sempervirens oil,dry,good,low
cupuacu butter glycerides,dry,good,low
cupuaçu and cocoa butters,dry,good,low
cupuaçu butter,dry,good,low
curcuma longa,"sensitive,pigmentation",good,low
curly hair,normal,neutral,low
custom-blended hyaluronic acid,"dry,sensitive",good,medium
cymbopogon flexuosus oil,dry,good,low
cymbopogon martinii v motia leaf oil,dry,good,low
cymbopogon nardus oil,dry,good,low
cymbopogon schoenanthus essential oil,dry,good,low
cymbopogon schoenanthus oil,dry,good,low
cymbopogon winterianus herb oil,dry,good,low
cyperus rotundus,normal,neutral,low
cyperus scariosus oil,dry,good,low
d&c red no 33,normal,neutral,low
d-alpha tocopherol,"oily,pigmentation",good,medium
d-limonene,sensitive,avoid,low
daikon radish,normal,neutral,low
damascus rose oil,dry,good,low
damask rose,"dry,sensitive",good,low
dandelion root and niacinamide,"oily,pigmentation",good,medium
date palm,normal,neutral,low
daywear adv mt-prt ao&uv def spf50 division,"sensitive,pigmentation",good,low
daywear eye jelly division,normal,neutral,low
daywear matte oil-cntrl ao gel-crm division,dry,good,low
dead skin,normal,neutral,low
decapeptide-22,wrinkle,good,low
"decyl glucoside,parfum fragrance",sensitive,avoid,medium
dehydrated spheres of hyaluronic acid,"dry,sensitive",good,medium
delivering smooth,normal,neutral,low
denat,normal,neutral,low
denatonium benzoate,"dry,sensitive",good,low
density peptide,wrinkle,good,low
derivative of salicylic acid,oily,good,medium
desert date,normal,neutral,low
desert date extract and vitamin c derivative,"pigmentation,wrinkle",good,medium
desert rose,"dry,sensitive",good,low
diazolidinyl urea,normal,neutral,low
dicaprylate dicaprate,normal,neutral,low
dicocodimonium chloride,,neutral,low
didecyldimonium chloride,,neutral,low
"diethylhexyl adipate,helianthus annuus seed oil",dry,good,low
diethylhexyl syringlidenemalonate,normal,neutral,low
diethylhexyl syringylidenenmalonate,normal,neutral,low
dimethyl capramide,normal,neutral,low
dimethyl isosorbide hydroxypinacolone retinoate,"dry,sensitive",good,low
dioscorea bulbifera,normal,neutral,low
dipeptide,wrinkle,good,low
diphenyl succinate,normal,neutral,low
dipropylne glycol,normal,neutral,low
"disodium edta,tocopherol","pigmentation,wrinkle",good,low
disodium lauroamphodiacetate,,neutral,low
disodium succinate,,neutral,low
dl-alpha tocopheryl acetate,"oily,pigmentation",good,medium
dl-alpha tocopheryl nicotinate,"oily,pigmentation",good,medium
dmdm hydantoin,normal,neutral,low
draws out excess oil,dry,good,low
dual molecular weight hyaluronic acid,"dry,sensitive",good,medium
dual retinol,wrinkle,good,medium
dual weight hyaluronic acid,"dry,sensitive",good,medium
dunaliella salina extract panthenol,"dry,sensitive",good,medium
dynamic black bee repair technology,normal,neutral,low
e niacinamide,"oily,pigmentation",good,medium
eau de mer,normal,neutral,low
ecotine & squalane,dry,good,medium
ecotine and squalane,dry,good,medium
ectoine & squalane,dry,good,medium
ectoine and squalane,dry,good,medium
egf botanical complex,normal,neutral,low
ehylhexylglycerin,"dry,sensitive",good,medium
eight peptides,wrinkle,good,low
eight types of hyaluronic acid + squalane,"dry,sensitive",good,medium
eight-peptide blend,wrinkle,good,low
elaeis guineesis kernel oil,dry,good,low
elastic look,normal,neutral,low
elasticity peptide,wrinkle,good,low
elastin-targeting dipeptides,wrinkle,good,low
elastomer technology,normal,neutral,low
elderberry oil,dry,good,low
elettria cardamomum seed oil,dry,good,low
emollients and almond milk,dry,good,low
encapsulated bha and strawberry enzyme,oily,good,low
encapsulated caffeine and upcycled cranberry peptide,"oily,pigmentation",good,low
encapsulated probiotics,normal,neutral,low
encapsulated retinal,wrinkle,good,low
encapsulated retinol,wrinkle,good,medium
encapsulated retinol + retinal,wrinkle,good,medium
encapsulated retinol blend,wrinkle,good,medium
encapsulated retinol technology,wrinkle,good,medium
encapsulated salicylic acid,oily,good,medium
encapsulated vitamin c,"pigmentation,wrinkle",good,medium
encapsulated vitamin c complex,"pigmentation,wrinkle",good,medium
english field mustard and chinawood oil,dry,good,low
enhanced slip,normal,neutral,low
enlighten dark spot corr night srm division,normal,neutral,low
enzymatic exfoliants,normal,neutral,low
eop,normal,neutral,low
epsom salt,normal,neutral,low
eriocephalus punctualatus oil,"oily,pigmentation",good,medium
eriocephalus punctulatus oil,"oily,pigmentation",good,medium
essential fatty acids,normal,neutral,low
essential oil blend for scent,dry,good,low
essential oil complex and grapeseed polyphenols,"pigmentation,wrinkle",good,low
essential oils,dry,good,low
estate grown beauty complex,normal,neutral,low
ethlhexyl palmitate,,neutral,low
ethlhexylglycerin,"dry,sensitive",good,medium
ethyhexylglycerin,"dry,sensitive",good,medium
ethyl acetoacetate,,neutral,low
ethyl ascorbic acid,"pigmentation,wrinkle",good,medium
ethylhexl olivate,normal,neutral,low
ethylhexyl glycerin,"dry,sensitive",good,medium
ethylhexyl- glycerin,"dry,sensitive",good,medium
ethylhexylglycerin if pregnant or nursing,"dry,sensitive",good,medium
ethylhexylglycerin parfum,"dry,sensitive",good,medium
"ethylhexylglycerin,phenoxyethanol",,neutral,low
"ethylhexylglycerin,sodium gluconate","dry,sensitive",good,medium
eucalpytus globulus leaf oil,dry,good,low
eucalyptus citriodora oil,dry,good,low
eucalyptus clobulus leaf oil,dry,good,low
eucalyptus globululs leaf oil,dry,good,low
eucalyptus globulus leaf oil,dry,good,low
"eucalyptus globulus leaf oil,mentha piperita oil",dry,good,low
eucalyptus globulus oil,dry,good,low
eugenia caryophyllus flower oil,dry,good,low
eugenia caryophyllus leaf oil eugenia caryophyllus leaf oil,dry,good,low
"eugenia caryophyllus leaf oil,subtilisin",dry,good,low
eugenia caryophyluss flower oil,dry,good,low
eugenol,sensitive,avoid,low
euk 134,normal,neutral,low
europaea fruit oil,dry,good,low
euterpe oleracea fruit oil,dry,good,low
euterpe oleracea pulp oil,dry,good,low
even out the complexion,normal,neutral,low
evening primrose,"dry,sensitive",good,low
excess oil,dry,good,low
excess sebum,normal,neutral,low
exclusive blue algae vitamin c 100%,"pigmentation,wrinkle",good,medium
exclusive peptide and antioxidant,wrinkle,good,low
expert moist complex,normal,neutral,low
expression lines,normal,neutral,low
eye peptides and collagen,wrinkle,good,low
farnesol** citral,sensitive,avoid,low
fast-acting retinal,wrinkle,good,low
fast-penetrating hyaluronic acid,"dry,sensitive",good,medium
fatty acid omega 3,"dry,wrinkle",good,low
fatty acid omega 6,"dry,wrinkle",good,low
fatty acids,normal,neutral,low
fatty acids and tamarindo extract,"dry,sensitive,wrinkle",good,low
fd&c red no 33,normal,neutral,low
featuring niacinamide,"oily,pigmentation",good,medium
ferment concentrate,"sensitive,dry",good,low
fermented pomegranate,"pigmentation,wrinkle",good,low
fermented reishi,"wrinkle,sensitive",good,low
ferment³,"sensitive,dry",good,low
ferrous gluconate,,neutral,low
ferulic acid and vitamin e,"pigmentation,wrinkle",good,medium
fights acne,normal,neutral,low
fine line complex,normal,neutral,low
fine perlite,normal,neutral,low
firming peptides,wrinkle,good,low
five botanical oils,dry,good,low
five ceramides,"dry,sensitive",good,medium
five ceramides and five peptides,"dry,sensitive",good,medium
five forms of hyaluronic acid,"dry,sensitive",good,medium
five forms of vitamin c,"pigmentation,wrinkle",good,medium
five peptides,wrinkle,good,low
five types of hyaluronic acid,"dry,sensitive",good,medium
five-ceramide blend,"dry,sensitive",good,medium
five-ceramide complex,"dry,sensitive",good,medium
flash filler hyaluronic acid,"dry,sensitive",good,medium
flaxseed peptide,wrinkle,good,low
fluid elastomers,normal,neutral,low
fluid framework,normal,neutral,low
fluorosilicate,oily,good,low
foeniculum vulgare fruit oil,dry,good,low
foeniculum vulgare oil,dry,good,low
for eyes that look fresh and relaxed aqua,,neutral,low
forest awakening essential oil blend,dry,good,low
fountain plant,normal,neutral,low
four-peptide blend,wrinkle,good,low
fragmented hyaluronic acid,"dry,sensitive",good,medium
"fragrance parfum,sorbic acid",sensitive,avoid,medium
fragrance* *plant origin,sensitive,avoid,medium
fragrances of natural origin,sensitive,avoid,medium
fragrancethe list of ingredients is subject to change,sensitive,avoid,medium
free-form and encapsulated glycolic and lactic acids,"oily,pigmentation,dry",good,medium
fresh formula,normal,neutral,low
from essential oils,dry,good,low
fruit ahas,"oily,pigmentation",good,low
fruit enzyme blend,normal,neutral,low
fruit oil,dry,good,low
full-spectrum cbd,normal,neutral,low
full-spectrum cbd oil,dry,good,low
fusanus spica- tus wood oil,dry,good,low
fusanus spicatus wood oil,dry,good,low
galacturonic acid and niacinamide,"oily,pigmentation",good,medium
gamma octalactone,normal,neutral,low
ganoderma lucidum,normal,neutral,low
gas,normal,neutral,low
gaultheria procumbens leaf oil,dry,good,low
gentle amino and fatty acid surfactants,normal,neutral,low
gentle eye m u remover liquid division,normal,neutral,low
gently exfoliate,normal,neutral,low
geraniol,normal,neutral,low
geraniol alpha-isomethyl ionone,"oily,pigmentation",good,medium
"geraniol,ci 75810",normal,neutral,low
geranium essential oil,dry,good,low
ginger root oil,dry,good,low
gingko biloba,normal,neutral,low
ginkgo biloba,normal,neutral,low
glacial glycoprotiens,normal,neutral,low
glofacial salicylic acid & hyaluronic acid solution,"dry,sensitive",good,medium
gluconolactone tocopherol,"pigmentation,wrinkle",good,low
glut[1]athione,normal,neutral,low
glutamylamidoethyl indole,normal,neutral,low
glycerin + hyaluronic acid,"dry,sensitive",good,medium
glycerin and hyaluronic acid,"dry,sensitive",good,medium
glycerin humectant,"dry,sensitive",good,medium
glycerin niacinamide,"oily,pigmentation",good,medium
"glycerin,- acrylates c10-30 alkyl acrylate crosspolymer","dry,sensitive",good,medium
"glycerin,1,2-hexanediol",,neutral,low
"glycerin,helianthus annuus seed oil","dry,sensitive",good,medium
"glycerin,pentylene glycol",dry,good,low
"glycerin,propanediol","dry,sensitive",good,medium
glycerin-infused water,"dry,sensitive",good,medium
glycerin^,"dry,sensitive",good,medium
glycerincetyl alcohol,"dry,sensitive",good,medium
glycerinm,"dry,sensitive",good,medium
glycerol,normal,neutral,low
glyceryl monostearate,,neutral,low
glyceryl olivate,normal,neutral,low
glyceryl sterate,normal,neutral,low
glycine soja oil *certified organic,dry,good,low
glycine soja oil glycine soja oil,dry,good,low
glycine soja oil soybean oil,dry,good,low
glycolic,"oily,pigmentation",good,medium
glycolic acid and lactic acid,"oily,pigmentation,dry",good,medium
glycolic acid complex,"oily,pigmentation",good,medium
glycolic and azelaic acids,"oily,pigmentation",good,medium
glycolic and lactic acid,"oily,pigmentation,dry",good,medium
glycolic and lactic acids,"oily,pigmentation,dry",good,medium
glycolici acid,"oily,pigmentation",good,medium
glycérine,normal,neutral,low
goat milk,"dry,sensitive",good,low
gold delivery system,,neutral,low
gold flakes,,neutral,low
golden kiwifruit,,neutral,low
golden vitamin c,"pigmentation,wrinkle",good,medium
gossypium harbaceum seed oil,dry,good,low
"gossypium herbaceum seed oil,tetrasodium glutamate diacetate",dry,good,low
graham flour,"oily,pigmentation",good,low
granactive retinoid,normal,neutral,low
gransil blur,normal,neutral,low
grape seed extract and vitamin e,"pigmentation,wrinkle",good,low
grape seed oil and vinolevure,"pigmentation,wrinkle",good,low
grape seed oil and vitamin e,"pigmentation,wrinkle",good,low
grapefruit flavor,normal,neutral,low
grapeseed oil,"pigmentation,wrinkle",good,low
grass-fed hydrolyzed collagen peptides,wrinkle,good,low
great burdock,normal,neutral,low
green algae encapsulated retinol,wrinkle,good,medium
green cardamom,normal,neutral,low
green microalgae bio-retinol and time-release retinol,wrinkle,good,medium
green tea and five types of hyaluronic acid,"dry,sensitive",good,medium
green tea oil-control mask,"pigmentation,wrinkle",good,medium
green tea water and nanocapsulized hyaluronic acid,"dry,sensitive",good,medium
growth complex,normal,neutral,low
guaiacum officinale wood oil,dry,good,low
guar hydroxypropyltrimonium,normal,neutral,low
guava extract and seed oil,dry,good,low
gylcine soja oil,dry,good,low
h-retinoate,"dry,sensitive",good,low
h2o,normal,neutral,low
hadasei-3 and hyaluronic acid,"dry,sensitive",good,medium
ha³,normal,neutral,low
healthy complexion aqua,normal,neutral,low
healthy fats,normal,neutral,low
healthy-looking glow glycine soja oil,dry,good,low
heatforce technology,normal,neutral,low
helianthis annus seed oil,dry,good,low
helianthus annuss seed oil,dry,good,low
helianthus annuus,normal,neutral,low
helianthus annuus hybrid oil,dry,good,low
helianthus annuus oil,dry,good,low
helianthus annuus seed oil helianthus annuus seed oil,dry,good,low
helianthus annuus seed oil seed oil),dry,good,low
helianthus annuus seed oil sunflower seed oil,dry,good,low
helianthus annuus seed oil* linum usitatissimum seed extract,dry,good,low
helianthus annuus seed wax simmondsia chinensis seed oil,dry,good,low
helianthus anuus seed oil,dry,good,low
helichrysum italicum flower oil,dry,good,low
helichrysum italicum oil,dry,good,low
help prevent irritation,normal,neutral,low
help reveal softer,normal,neutral,low
helping to loosen blackheads,normal,neutral,low
helping your skin appear plump,normal,neutral,low
heptapeptide-7,wrinkle,good,low
hexapeptide,wrinkle,good,low
hexapeptide-8,wrinkle,good,low
hexapeptide48-hcl,wrinkle,good,low
hexyl cinnamal fragrance,sensitive,avoid,medium
hexyl cinnamaldehyde,normal,neutral,low
hibiscus aha,"oily,pigmentation",good,low
hibiscus peptides,wrinkle,good,low
hibuscus flower aha,"oily,pigmentation",good,low
high molecular weight hyaluronic acid,"dry,sensitive",good,medium
high-grade retinol,wrinkle,good,medium
highly stable vitamin c,"pigmentation,wrinkle",good,medium
hippophae rhamnoides fruit oil,"oily,pigmentation",good,medium
hippophae rhamnoides l oil,"oily,pigmentation",good,medium
hippophae rhamnoides seed oil,"oily,pigmentation",good,medium
holy basil,normal,neutral,low
honey and peptide complex,wrinkle,good,low
hordeum vulgare,normal,neutral,low
horse chestnut,normal,neutral,low
huile minerale,,neutral,low
humectant blend,dry,good,low
humulus lupulus oil,dry,good,low
hyaluronate,"dry,sensitive",good,medium
hyaluronic acid + allantoin,"dry,sensitive",good,medium
hyaluronic acid and aloe,"dry,sensitive",good,medium
hyaluronic acid and aloe vera,"dry,sensitive",good,medium
hyaluronic acid and cactus water,"dry,sensitive",good,medium
hyaluronic acid and collagen,"dry,sensitive",good,medium
hyaluronic acid and glycerin,"dry,sensitive",good,medium
hyaluronic acid and mukul myrrh extract,"dry,sensitive",good,medium
hyaluronic acid and polyglutamic acid,"dry,sensitive",good,medium
hyaluronic acid and shea butter,"dry,sensitive",good,medium
hyaluronic acid and squalane,"dry,sensitive",good,medium
hyaluronic acid and squalene,"dry,sensitive",good,medium
hyaluronic acid and vitamin b5,"dry,sensitive",good,medium
hyaluronic acid and watermelon extract,"dry,sensitive",good,medium
hyaluronic acid blend,"dry,sensitive",good,medium
hyaluronic acid complex,"dry,sensitive",good,medium
hyaluronic acid complex 5% and squalane,"dry,sensitive",good,medium
hyaluronic acid concentrate,"dry,sensitive",good,medium
hyaluronic acid duo,"dry,sensitive",good,medium
hyaluronic acid filling spheres,"dry,sensitive",good,medium
hyaluronic acid fragments and activated aloe water,"dry,sensitive",good,medium
hyaluronic acid sodium hyaluronate,"dry,sensitive",good,medium
hyaluronic acid spheres,"dry,sensitive",good,medium
"hyaluronic acid,silanetriol","dry,sensitive",good,medium
hyaluronic acid-infused clay,"dry,sensitive",good,medium
hyaluronic acids,"dry,sensitive",good,medium
hyaluronic acids and green tea probiotic lysate,"dry,sensitive",good,medium
hyaluronic and polyglutamic acids,"dry,sensitive",good,medium
hyaluronic clay,"dry,sensitive",good,medium
hyaluronic filling spheres,"dry,sensitive",good,medium
hydra-firm complex,normal,neutral,low
hydrated silica,oily,good,low
hydrating glycerin,"dry,sensitive",good,medium
hydrating hyaluronic acid,"dry,sensitive",good,medium
hydrating nectar,normal,neutral,low
hydrating peptide solution,wrinkle,good,low
hydrating seed butters,dry,good,low
hydrating squalane,dry,good,medium
hydrating sugar complex,normal,neutral,low
hydration barrier complex,normal,neutral,low
hydration complex,normal,neutral,low
hydrocolloid bandage,normal,neutral,low
hydrocolloid dressing,normal,neutral,low
hydrogenated jojoba esters,dry,good,low
hydrogenated licithin,normal,neutral,low
hydrogenated olive oil decyl esters,dry,good,low
hydrogenated olive oil lauryl esters,dry,good,low
hydrogenated olive oil stearyl esters,dry,good,low
hydrolized sodium hyaluronate,"dry,sensitive",good,medium
hydrolyzed hyaluronlc acid,"dry,sensitive",good,medium
hydrolyzed sodium,normal,neutral,low
hydrolyzed sodium hyaluronate sodium hyaluronate,"dry,sensitive",good,medium
"hydrolyzed wheat protein,tocopheryl acetate",,neutral,low
"hydrolyzedhyaluronicacid,magnoliagrandiflorabarkextract","dry,sensitive",good,medium
hydropeptides,wrinkle,good,low
hydrosenn+,"dry,sensitive",good,low
hydroxyethyl ethylcellulose,,neutral,low
hydroxyethyl urea,normal,neutral,low
"hydroxyethylcellulose,lavandula angustifolia oil",dry,good,low
hydroxypropl methylcellulose,,neutral,low
"hydroxypropyl methylcellulose,silica",oily,good,low
hydroxypropylmethylcellulose,,neutral,low
hydroxypropylmethylcellulose stearoxyether,,neutral,low
hydroxypropyltrimonium hyaluronate,"dry,sensitive",good,medium
hydroxytyrosol and pure vitamin c,"pigmentation,wrinkle",good,medium
idealist extra pore min skin refin division,normal,neutral,low
il-1a,normal,neutral,low
illicium verum oil,dry,good,low
illuminating pearl,normal,neutral,low
immortelle essential oil,dry,good,low
immubarrier complex,normal,neutral,low
improve health,normal,neutral,low
improve its resiliency,normal,neutral,low
improves hydration levels,normal,neutral,low
improves skin firmness,normal,neutral,low
improves the appearance of fatigue,normal,neutral,low
improves the evenness of skin texture,normal,neutral,low
improves visible signs of aging,normal,neutral,low
improving fine lines and wrinkles,normal,neutral,low
improving the look of line and wrinkles,normal,neutral,low
imugeneration technology,normal,neutral,low
inactive,normal,neutral,low
inca inchi oil,dry,good,low
including coconut-based surfactants rich in fatty acids,normal,neutral,low
increases luminosity,normal,neutral,low
increases moisture,normal,neutral,low
inctive ingredients,normal,neutral,low
indian sarsparilla,normal,neutral,low
indigofera tinctoria,normal,neutral,low
infinitpower technology,normal,neutral,low
infrared rays,normal,neutral,low
ingredients from natural origin,normal,neutral,low
intensely hydrates,normal,neutral,low
irish moss,normal,neutral,low
iron hydroxide,,neutral,low
irvingia gabonensiskernel butter,dry,good,low
isoamyl salicylate,normal,neutral,low
isoeugenol,sensitive,avoid,low
isosqualane,dry,good,medium
its energizing properties help wake up,normal,neutral,low
japanese beautyberry,normal,neutral,low
japanese camellia oil,dry,good,low
japanese charcoal,oily,good,low
japanese konjac,normal,neutral,low
japanese mugwort,normal,neutral,low
jasmine extract helianthus annuus seed oil,dry,good,low
jasmine sambac oil,dry,good,low
jasminum grandiflorum flower oil,dry,good,low
jasminum officinale,"dry,sensitive",good,low
jasminum sambac,normal,neutral,low
jasminum sambac flower oil,dry,good,low
jasminum sambac oil,dry,good,low
java fruit,normal,neutral,low
jeju camellia seed oil,dry,good,low
jojoba,dry,good,low
jojoba & almond oil,dry,good,low
jojoba and avocado,dry,good,low
jojoba and borage seed oils,dry,good,low
jojoba and shea butter,dry,good,low
jojoba and sunflower oil complex,dry,good,low
jojoba beads,dry,good,low
jojoba ester and polyglutamic acid,dry,good,low
jojoba extract,dry,good,low
jojoba oil macadamia seed oil esters,dry,good,low
jojoba protein,dry,good,low
jojoba seed,dry,good,low
jojoba seed and plum kernel oils,dry,good,low
jojoba seed and rosehip fruit oils,"dry,pigmentation",good,low
jojoba seed oil and vitamin e,dry,good,low
jojoba seed oil coriandrum sativum oil,dry,good,low
jojoba),dry,good,low
juniperus communis fruit oil,dry,good,low
juniperus mexicana oil,dry,good,low
juniperus virginiana oil,dry,good,low
juniperus virginiana wood oil,dry,good,low
juvenescence+ complex,normal,neutral,low
kakadu plum blend,normal,neutral,low
kakadu plum extract,"dry,sensitive,wrinkle",good,low
kalahari melon,"oily,pigmentation",good,low
kalahari melon and moringa,"oily,pigmentation",good,low
kalahari melon oil,"oily,pigmentation",good,low
kaolin and bentonite clays,oily,good,low
kaolin and zinc oxide,sensitive,good,medium
kaolin clay,oily,good,low
kaolin clay and laminaria,oily,good,low
"kaolin,ethylhexylglycerin,steareth-20","dry,sensitive",good,medium
kaolincaprylic capric triglyceride,oily,good,low
kaolinite,oily,good,low
kelp minerals,dry,good,low
kelp sea oil,dry,good,low
kernel oil,dry,good,low
kgf,normal,neutral,low
kiwi fruit seed oil,dry,good,low
known for its exfoliating properties glycerin,"dry,sensitive",good,medium
kojic + tranexamic acid + vitamin c blend,pigmentation,good,medium
kokum and mango seed butter,dry,good,low
kokum butter,dry,good,low
kombu-bounce complex,normal,neutral,low
korean traditional herb complex,normal,neutral,low
kurenai-trulift complex,normal,neutral,low
lactic,normal,neutral,low
lactic acid 10% and salicylic acid 2%,"oily,pigmentation,dry",good,medium
lactic acid 7% and glyccolic acid,"oily,pigmentation,dry",good,medium
lactic acid and citric acid step one,"oily,pigmentation,dry",good,medium
lactic acid and pha,"oily,pigmentation",good,medium
lactic acid and salicylic acid,"oily,pigmentation,dry",good,medium
lactic acid from bilberry,"oily,pigmentation,dry",good,medium
lactic acid from yeast,"oily,pigmentation,dry",good,medium
"lactic acid,sodium citrate","oily,pigmentation,dry",good,medium
lactic and mandelic acids,"oily,pigmentation",good,low
lanolin oil,dry,good,low
lauramide mipa,normal,neutral,low
lauric arginate,normal,neutral,low
lauroyl lactylate,normal,neutral,low
lauryl phosphate,"oily,pigmentation",good,medium
lavan du la angustifolia (lavender oil,dry,good,low
lavandula angustifolia essential oil,dry,good,low
lavandula angustifolia flower oil,dry,good,low
lavandula angustifolia herb oil,dry,good,low
lavandula angustifolia oil,dry,good,low
lavandula angustifolia oil lavandula angustifolia oil,dry,good,low
lavandula angustifolia oil lavender oil,dry,good,low
lavandula angustilfolia flower oil,dry,good,low
lavandula anugustifolia oil,dry,good,low
lavandula hybrida abrial herb oil,dry,good,low
lavandula hybrida grosso herb oil,dry,good,low
lavandula spica flower oil,dry,good,low
lavandulaangustifolia oil,dry,good,low
lavandulahybrida oil,dry,good,low
lavender citrus,sensitive,good,low
lavender hydrosol,sensitive,good,low
lavendula angustifolia oil,dry,good,low
lavendula augustifolia oil,dry,good,low
lavendula hybrida oil,dry,good,low
lavendula spica flower oil,dry,good,low
leaving skin visibly plump and smooth aqua,,neutral,low
"lecithin,squalane",dry,good,medium
"lecithin,tocopherol","pigmentation,wrinkle",good,low
lemon essential oil,dry,good,low
lemon seed oil and lemon butter,dry,good,low
lentil fruit,normal,neutral,low
leptadenia reticulata,normal,neutral,low
levisticum officinale oil,dry,good,low
lifting dipeptides,wrinkle,good,low
lifting peptides,wrinkle,good,low
light fit prep technology,normal,neutral,low
light-reflecting complex,normal,neutral,low
"like a ""peel,"" for visibly smoother",normal,neutral,low
lime oil,dry,good,low
lime oil terpenes,dry,good,low
limnanthes alba seed oil meadowfoam seed oil,dry,good,low
limonene *natural,sensitive,avoid,low
limonene *plant origin,sensitive,avoid,low
limonene linalool,sensitive,avoid,low
limonene-d,sensitive,avoid,low
linalool,sensitive,avoid,low
linalool **natural,sensitive,avoid,low
linalool *100% natural fragrance,sensitive,avoid,medium
linalool *certified organic,sensitive,avoid,low
linalool *hemisqualane,dry,good,medium
linalool *natural flavor,sensitive,avoid,low
linalool *pitera,sensitive,avoid,low
linalool <18941> sorbate,sensitive,avoid,low
linalool [+ -,sensitive,avoid,low
linalool* *fragrances of natural origin,sensitive,avoid,medium
linaloolgeraniol,sensitive,avoid,low
linum usitatissimum oil,dry,good,low
"linum usitatissimum seed oil,persea gratissima oil",dry,good,low
linum usitatissiumum seed oil,dry,good,low
lip-specific peptides,wrinkle,good,low
liposomal vitamin c,"pigmentation,wrinkle",good,medium
lippia citriodora,normal,neutral,low
liquid hydrogel,normal,neutral,low
lithium magnesium sodium silicate,oily,good,low
litsea cubeba oil,dry,good,low
long-lasting hydration and improves the look of elasticity,,neutral,low
long-lasting hydration diglycerin,"dry,sensitive",good,medium
lotus seed,normal,neutral,low
low,normal,neutral,low
low molecular weight hyaluronic acid,"dry,sensitive",good,medium
lsoamyl laurate,normal,neutral,low
mac- adamiaternifolia seed oil,dry,good,low
macadamia and kukui seed oils,dry,good,low
"macadamia integrifolia seed oil,glycerin","dry,sensitive",good,medium
macadamia oil,dry,good,low
macadamia seed oil,dry,good,low
macadamia ternifolia oil,dry,good,low
macadamia ternifolia seed oil,dry,good,low
macro hyaluronic acid,"dry,sensitive",good,medium
macrotyloma uniflorum,normal,neutral,low
magnesium and peptides,wrinkle,good,low
maintains hydration,normal,neutral,low
malachite complex,normal,neutral,low
maldavian dragonhead,normal,neutral,low
maltodextrin ethylhexylglycerin,"dry,sensitive",good,medium
maltodextrin tocotrienols phytosphingosine,"pigmentation,wrinkle",good,low
malus domestica,normal,neutral,low
