ingredient,in_skin_map,in_incidecoder,skin_types,effect,confidence,inci_source,inci_slug,inci_what_it_does,inci_details
capryly glycol,1,0,normal,neutral,low,,,,
capryly glycol extract,1,0,dry; sensitive,good,low,,,,
caprylyl,1,0,normal,neutral,low,,,,
caprylyl 2-glyceryl ascorbate,1,0,dry,good,medium,,,,
caprylyl 3-glyceryl ascorbate,1,0,dry,good,medium,,,,
caprylyl butyrate,1,0,normal,good,medium,,,,
caprylyl capric glucoside,1,0,normal,neutral,low,,,,
caprylyl capryl glucoside,1,0,,neutral,low,,,,
caprylyl capryl glucoside sclerotium gum,1,0,normal,good,low,,,,
caprylyl caprylate,1,0,dry,good,medium,,,,
caprylyl caprylate caprate,1,1,,neutral,low,INCI Decoder,caprylyl-caprylate-caprate,,
caprylyl caprylate/caprate,1,0,dry,good,medium,,,,
caprylyl dimethicone ethoxy glucoside,1,0,dry; sensitive,good,low,,,,
caprylyl eicosenoate,1,0,normal,good,medium,,,,
caprylyl glyceryl ether,1,0,dry,good,medium,,,,
caprylyl glycol,1,0,dry,good,medium,,,,
caprylyl glycol [may contain,1,0,dry,good,low,,,,
caprylyl glycol plankton extract,1,0,dry,good,low,,,,
"caprylyl glycol, 1,2-hexanediol",0,1,,,,INCI Decoder,caprylyl-glycol-12-hexanediol,,
"caprylyl glycol, 4-t-butylcyclohexanol",0,1,,,,INCI Decoder,caprylyl-glycol-4-t-butylcyclohexanol,,
"caprylyl glycol,acrylates c10-30 alkyl acrylate crosspolymer",1,0,normal,neutral,low,,,,
caprylyl hydroxybutyramide,1,0,dry; normal,good,medium,,,,
caprylyl methicone,1,0,dry; pigmentation; sensitive,good,medium,,,,
caprylyl trimethicone,1,0,normal,good,medium,,,,
caprylyl trisiloxane,1,0,normal,good,medium,,,,
"caprylyl,",1,0,normal,neutral,low,,,,
caprylylglycol,1,0,normal,neutral,low,,,,
caprylylmethicone,1,0,dry,good,low,,,,
capsaicin,1,0,pigmentation,good,medium,,,,
capsaicinyl glucosides,1,0,dry,good,medium,,,,
capsanthin capsorubin,1,0,normal,neutral,low,,,,
capsanthin capsorubin extract,1,0,dry; sensitive,good,low,,,,
capsella bursa-pastoris extract,1,0,normal,good,medium,,,,
capsicum annuum callus culture extract,1,0,normal,good,medium,,,,
capsicum annuum fruit extract,1,0,oily,good,medium,,,,
capsicum annuum fruit juice,1,0,normal,good,medium,,,,
capsicum annuum fruit meristem cell,1,0,normal,good,medium,,,,
capsicum annuum fruit powder,1,0,normal,good,medium,,,,
capsicum annuum leaf extract,1,0,normal,good,medium,,,,
capsicum annuum resin,1,0,normal,good,medium,,,,
capsicum frutescens fruit,1,0,normal,good,medium,,,,
capsicum frutescens fruit extract,1,0,normal,good,medium,,,,
capsicum frutescens fruit powder,1,0,dry; normal,good,medium,,,,
capsosiphon fulvescens extract,1,0,normal,good,medium,,,,
capsule,1,0,,neutral,low,,,,
caralluma fimbriata stem extract,1,0,normal,good,medium,,,,
caramel,1,0,,neutral,low,,,,
caramel color,1,0,dry; sensitive,good,medium,,,,
"caramel,caprylyl glycol",1,0,dry,good,low,,,,
carapa guaianensis oil peg-8 esters,1,0,dry,good,medium,,,,
carapa guaianensis oil polyglyceryl-6 esters,1,0,dry,good,medium,,,,
carapa guaianensis seed oil,1,0,normal,good,medium,,,,
carapa procera seed oil,1,0,normal,good,medium,,,,
carbenia benedicta extract,1,0,normal,good,medium,,,,
carbocysteine,1,0,normal; oily,good,medium,,,,
carbomer,1,0,,neutral,low,,,,
carbomer algae extract,1,0,dry; sensitive; wrinkle,good,low,,,,
carbomer bisabolol,1,0,sensitive; wrinkle,good,low,,,,
carbomer sodium polyacrylate,1,0,normal,neutral,low,,,,
"carbomer,fragrance",1,0,sensitive,avoid,medium,,,,
"carbomer,tocopheryl acetate",1,0,,neutral,low,,,,
carbon dioxide,1,0,,neutral,low,,,,
carbon dioxide extract,1,0,dry; sensitive,good,low,,,,
carbonado extract,1,0,normal,good,medium,,,,
carboxybutyl chitosan,1,0,normal,good,medium,,,,
carboxydecyl trisiloxane,1,0,normal; sensitive,good,medium,,,,
carboxyethyl aminobutyric acid,1,0,normal,good,medium,,,,
carboxymethyl caprooyl chitosan,1,0,dry; oily,good,medium,,,,
carboxymethyl chitin,1,0,normal,good,medium,,,,
carboxymethyl chitosan myristamide,1,0,dry,good,medium,,,,
carboxymethyl levan,1,0,dry; normal,good,medium,,,,
cardamine flexuosa extract,1,0,normal,good,medium,,,,
cardamom,1,0,normal,neutral,low,,,,
cardamon,1,0,normal,neutral,low,,,,
cardiospermum halicacabum,1,0,sensitive; wrinkle,good,medium,,,,
cardiospermum halicacabum flower leaf vine extract,1,0,normal,good,low,,,,
cardiospermum halicacabum seed extract,1,0,normal; oily,good,medium,,,,
carex dispalata extract,1,0,dry; normal,good,medium,,,,
carex humillis root extract,1,0,normal,good,medium,,,,
carex kobomugi extract,1,0,normal,good,medium,,,,
carex meyeriana leaf/stem extract,1,0,normal,good,medium,,,,
carica papaya fruit,1,0,normal,good,medium,,,,
carica papaya fruit extract,1,0,normal,good,low,,,,
carica papaya fruit extract fruit extract),1,0,normal,good,low,,,,
carica papaya fruit juice,1,0,dry; normal,good,medium,,,,
carica papaya fruit water,1,0,normal,good,medium,,,,
carica papaya leaf extract,1,0,wrinkle,good,medium,,,,
carica papaya seed oil,1,0,dry; normal,good,medium,,,,
carica papya fruit extract,1,0,pigmentation; wrinkle,good,low,,,,
carlina acaulis hairy root culture extract,1,0,normal,good,medium,,,,
carlina acaulis root extract,1,0,normal,good,medium,,,,
carmbomer,1,0,normal,neutral,low,,,,
carmine,1,0,,neutral,low,,,,
carnatine,1,0,normal,neutral,low,,,,
carnauba acid wax glycol esters,1,0,dry; normal,good,medium,,,,
carnauba cera copernicia cerifera wax,1,0,oily,good,low,,,,
carnauba wax,1,0,dry,good,medium,,,,
carnegiea gigantea flower extract,1,0,normal,good,medium,,,,
carnitine,1,0,,neutral,low,,,,
carnitine fumarate,1,0,normal,good,medium,,,,
carnitine hcl,1,0,dry; normal,good,medium,,,,
carnitine hydroxycitrate,1,0,normal,good,medium,,,,
carnitine isomerized linoleate,1,0,dry,good,medium,,,,
carnosic acid,1,0,wrinkle,good,medium,,,,
carnosine,1,0,sensitive; wrinkle,good,medium,,,,
carob gum,1,0,normal,neutral,low,,,,
carotenoids,1,0,oily,good,medium,,,,
carpinus betulus bud extract,1,0,normal,good,medium,,,,
carpinus betulus flower extract,1,0,normal,good,medium,,,,
carpinus cordata leaf extract,1,0,normal,good,medium,,,,
carpinus laxiflora stem extract,1,0,dry; oily,good,medium,,,,
carpinus tschonoskii leaf extract,1,0,normal,good,medium,,,,
carpinus tschonoskii stem extract,1,0,dry; oily,good,medium,,,,
carpinus turczaninowii extract,1,0,dry; normal,good,medium,,,,
carpobrotus edulis water,1,0,normal,good,medium,,,,
carpotroche brasiliensis seed butter,1,0,dry,good,medium,,,,
carrageenan,1,0,dry,good,medium,,,,
carrageenan extract,1,0,normal,good,low,,,,
carrot,1,0,dry; pigmentation,good,low,,,,
carrot extract,1,0,normal,good,low,,,,
carrot oil,1,0,dry; oily; wrinkle,good,medium,,,,
carrot root,1,0,dry; pigmentation,good,low,,,,
carrot root extract,1,0,normal,good,low,,,,
carrot seed oil,1,0,dry,good,low,,,,
carthamus tinctorious seed oil,1,0,dry,good,low,,,,
carthamus tinctorium seed oil,1,0,dry,good,low,,,,
carthamus tinctorius bud extract,1,0,normal,good,medium,,,,
carthamus tinctorius callus extract,1,0,dry; normal,good,medium,,,,
carthamus tinctorius extract,1,0,dry; normal,good,medium,,,,
carthamus tinctorius flower extract,1,0,normal,good,medium,,,,
carthamus tinctorius flower juice,1,0,normal,good,medium,,,,
carthamus tinctorius flower powder,1,0,normal,good,medium,,,,
carthamus tinctorius flower water,1,0,normal,good,medium,,,,
carthamus tinctorius oil,1,0,dry; oily,good,medium,,,,
carthamus tinctorius oleosomes,1,1,,neutral,low,INCI Decoder,carthamus-tinctorius-oleosomes,,"In general, oleosomes   are tiny-winy (micron sized) spheres that store emollient plant oils (+ some other things). In particular, Safflower Oleosomes are created from safflower seeds and carry  safflower seed oil and vitamin E. According to the manufacturer , oleosomes work both as natural emulsifiers as well as time-released delivery systems . Oleosomes on the skin do not collapse at once, but slowly and they deliver the stored emollient plant oil and vitamin E over an extended period of time giving the skin long-lasting moisture .  [more]"
carthamus tinctorius seed extract,1,0,normal,good,medium,,,,
carthamus tinctorius seed oil,1,1,dry,good,medium,INCI Decoder,carthamus-tinctorius-seed-oil,,"The oil coming from the seeds of the yellow flowered safflower plant . Similar to other plant oils, it's loaded with  nourishing and moisturizing fatty acids : it's a high linoleic acid oil (70%) and has only smaller amounts of oleic acid (11%) ( this might be great for acne-prone skin ). It also contains antioxidant vitamin E (44mg/100g alpha-tocopherol). [more]"
carthamus tinctorius seed oil avena sativa peptide,1,0,wrinkle,good,low,,,,
carthamus tinctorius seed oil safflower seed oil,1,0,dry,good,low,,,,
carthamus tinctorius sprout extract,1,0,normal,good,medium,,,,
carum carvi seed oil,1,0,dry,good,low,,,,
carum petroselinum extract,1,0,normal,good,medium,,,,
carum petroselinum seed oil,1,0,dry,good,low,,,,
carvone,1,0,oily,good,medium,,,,
carya illinoensis oil,1,0,dry; oily,good,medium,,,,
carya illinoensis seed extract,1,0,normal,good,medium,,,,
carya illinoensis shell extract,1,0,normal,good,medium,,,,
carya illinoinensis seed extract,1,0,normal,good,medium,,,,
carya illinoinensis seed oil,1,0,dry; normal; oily,good,medium,,,,
carya illinoinensis shell extract,1,0,normal,good,medium,,,,
carya ovata bark extract,1,0,normal,good,medium,,,,
carylic capric triglyceride,1,0,dry,good,low,,,,
caryocar brasiliense fruit oil,1,0,dry; oily; pigmentation; sensitive; wrinkle,good,medium,,,,
caryocar brasiliense fruit/leaf extract,1,0,dry,good,medium,,,,
caryocar coriaceum seed oil,1,0,dry; normal,good,medium,,,,
caryocar villosum kernel oil,1,0,dry,good,medium,,,,
caryodendron orinocense nut oil,1,0,dry; normal,good,medium,,,,
caryodendron orinocense seed oil,1,0,dry; normal,good,medium,,,,
caryopteris incana callus culture extract,1,0,normal,good,medium,,,,
casearia sylvestris leaf extract,1,0,normal,good,medium,,,,
casein,1,0,dry; wrinkle,good,medium,,,,
casein extract,1,0,normal,good,medium,,,,
cassia alata leaf extract,1,1,dry; wrinkle,good,low,INCI Decoder,cassia-alata-leaf-extract,,Candle tree is a nice plant with beautiful yellow flowers that's native to Mexico. It's a medicinal tree that has very effective fungicidal properties and is used traditionally to treat fungal infections of the skin.  Modern studies confirm antimicrobial as well as anti-inflammatory activity of the tree. According to manufacturer info it's even a great anti-aging plant extract that gives DNA protection from UV rays and supports the natural repairing process of the skin cells.  [more]
cassia angustifolia leaf,1,0,normal,good,medium,,,,
cassia angustifolia leaf extract,1,0,normal,good,medium,,,,
cassia angustifolia seed extract,1,0,normal,good,medium,,,,
cassia angustifolia seed polysaccharide,1,0,dry,good,medium,,,,
cassia artemisioides leaf/stem extract,1,0,normal,good,medium,,,,
cassia auriculata leaf extract,1,0,normal,good,medium,,,,
cassia auriculata leaf powder,1,0,normal,good,medium,,,,
cassia fistula flower extract,1,0,normal,good,medium,,,,
cassia fistula fruit extract,1,0,normal,good,medium,,,,
cassia gum,1,0,normal,good,medium,,,,
cassia hydroxypropyltrimonium chloride,1,0,,neutral,low,,,,
cassia hydroxypropyltrimoniumchloride,1,0,,neutral,low,,,,
cassia hydroxypropyltrimoniumchloride extract,1,0,dry; sensitive,good,low,,,,
cassia italica leaf extract,1,0,normal,good,medium,,,,
cassia italica leaf powder,1,0,normal,good,medium,,,,
cassia mimosoides branch/leaf extract,1,0,normal,good,medium,,,,
cassia mimosoides extract,1,0,normal,good,medium,,,,
cassia nomame extract,1,0,normal,good,medium,,,,
cassia nomame leaf/stem powder,1,0,dry,good,medium,,,,
cassia obtusifolia seed extract,1,0,normal,good,medium,,,,
cassia obtusifolia seed powder,1,0,dry,good,medium,,,,
cassia senna leaf extract,1,0,normal,good,medium,,,,
cassia tora seed extract,1,0,normal,good,medium,,,,
cassie flower wax,1,0,dry,good,low,,,,
cassytha filiformis powder,1,0,normal; oily,good,medium,,,,
castanea crenata branch/leaf extract,1,0,normal,good,medium,,,,
castanea crenata cupule extract,1,0,dry; normal,good,medium,,,,
castanea crenata flower extract,1,0,normal,good,medium,,,,
castanea crenata pellicle extract,1,0,oily,good,medium,,,,
castanea crenata shell extract,1,0,normal,good,medium,,,,
castanea sativa bark,1,0,,neutral,low,,,,
castanea sativa bark extract,1,0,normal,good,medium,,,,
castanea sativa flower extract,1,0,normal,good,medium,,,,
castanea sativa leaf extract,1,0,dry; sensitive; wrinkle,good,medium,,,,
castanea sativa pericarp extract,1,0,normal,good,medium,,,,
castanea sativa seed extract,1,0,wrinkle,good,medium,,,,
castanea sativa shell extract,1,0,normal,good,medium,,,,
castanopsis cuspidata bark extract,1,0,normal,good,medium,,,,
castanopsis cuspidata leaf extract,1,0,normal,good,medium,,,,
castanopsis cuspidata stem extract,1,0,dry; oily,good,medium,,,,
castor isostearate beeswax succinate,1,0,normal,good,medium,,,,
castor isostearate succinate,1,0,dry; oily,good,medium,,,,
castor oil,1,0,dry; oily,good,medium,,,,
castor oil benzoate,1,0,dry; normal,good,medium,,,,
castor oil bis-hydroxypropyl dimethicone esters,1,0,normal,good,medium,,,,
castor oil ipdi copolymer,1,0,dry,good,low,,,,
castor oil polyglyceryl-6 esters,1,0,dry; normal,good,medium,,,,
castor oil propanediol esters,1,0,dry,good,medium,,,,
castor seed,1,0,normal,neutral,low,,,,
castor seed extract,1,0,dry; sensitive,good,low,,,,
castor seed oil,1,0,dry,good,low,,,,
castor seed oil aminopropanediol amides/esters,1,0,dry; normal,good,medium,,,,
castor seed oil and cocoa extract,1,0,dry,good,low,,,,
castor/olive oil esters,1,0,dry; normal,good,medium,,,,
castoryl maleate,1,0,normal,good,medium,,,,
castorylmaleate,1,0,normal,neutral,low,,,,
casuarina stricta branch/leaf extract,1,0,normal,good,medium,,,,
casuarina stricta leaf extract,1,0,normal,good,medium,,,,
catalase,1,0,dry,good,medium,,,,
catalpa bignonioides leaf extract,1,0,normal,good,medium,,,,
catalpa ovata bark/leaf extract,1,0,normal,good,medium,,,,
catalpa ovata fruit extract,1,0,normal,good,medium,,,,
catharanthus roseus callus conditioned media,1,0,normal,good,medium,,,,
catharanthus roseus callus culture extract,1,0,normal,good,medium,,,,
cattleya extract,1,0,dry; normal,good,medium,,,,
caulerpa lentillifera extract,1,0,normal,good,low,,,,
"caulerpa lentillifera extract, 1,2-hexanediol",0,1,,,,INCI Decoder,caulerpa-lentillifera-extract-12-hexanediol,,
caulerpa lentillifera/enteromorpha prolifera extract,1,0,normal,good,medium,,,,
caulerpa microphysa extract,1,0,normal,good,medium,,,,
caulerpa okamurae extract,1,0,dry,good,medium,,,,
caulerpa racemosa extract,1,0,normal; oily,good,medium,,,,
caulerpa taxifolia extract,1,0,dry,good,medium,,,,
caulophyllum thalictroides rhizome/root,1,0,normal,good,medium,,,,
caviar extract,1,0,normal,good,medium,,,,
caviar lime,1,0,normal,neutral,low,,,,
caviar lime extract,1,0,normal,good,low,,,,
caviar oil,1,0,dry; normal,good,medium,,,,
caviar water,1,0,normal,good,medium,,,,
cayaponia tayuya root extract,1,0,normal,good,medium,,,,
cayenne,1,0,normal,neutral,low,,,,
cayenne pepper,1,0,normal,neutral,low,,,,
cayenne pepper extract,1,0,dry; sensitive,good,low,,,,
cbd-dominant cannabis extract,1,0,normal,good,low,,,,
cbg,1,0,normal,neutral,low,,,,
cbg-dominant cannabis extract,1,0,normal,good,low,,,,
cecropia obtusa bark extract,1,0,normal,good,medium,,,,
cecropia peltata leaf extract,1,0,normal,good,medium,,,,
cedarwood,1,0,oily,good,medium,,,,
cedrela sinensis sprout extract,1,0,normal,good,medium,,,,
cedrol,1,0,dry; normal,good,medium,,,,
cedrol methyl ether,1,0,dry; normal,good,low,,,,
cedrus atlantica,1,0,normal,neutral,low,,,,
cedrus atlantica bark essential oil,1,0,dry,good,low,,,,
cedrus atlantica bark extract,1,0,oily,good,medium,,,,
cedrus atlantica bark oil,1,0,dry,good,low,,,,
cedrus atlantica extract,1,0,dry; sensitive,good,low,,,,
cedrus atlantica leaf extract,1,0,normal,good,medium,,,,
cedrus atlantica wood oil,1,0,dry,good,low,,,,
cedrus dcodara,1,0,normal,neutral,low,,,,
cedrus dcodara extract,1,0,dry; sensitive,good,low,,,,
cedrus deodara seed extract,1,0,normal,good,medium,,,,
cedrus deodara wood extract,1,0,normal,good,medium,,,,
cedrus libani bark extract,1,0,dry; normal,good,medium,,,,
cedrus libani bud extract,1,0,normal,good,medium,,,,
celastrus paniculatus seed extract,1,0,normal,good,medium,,,,
celery extract,1,0,normal,good,low,,,,
celery seed and flaxseed extracts,1,0,normal,good,low,,,,
cellular hydro-lock,1,0,normal,neutral,low,,,,
cellulase,1,0,normal,neutral,low,,,,
cellulose,1,0,,neutral,low,,,,
cellulose acetate,1,0,,neutral,low,,,,
cellulose acetate butyrate,1,0,,neutral,low,,,,
cellulose dialdehyde,1,0,normal,good,medium,,,,
cellulose gum,1,0,dry,good,medium,,,,
cellulose gum gluconolactone,1,0,dry; pigmentation; wrinkle,good,low,,,,
cellulose powder,1,0,,neutral,low,,,,
cellulose succinate,1,0,dry; normal,good,medium,,,,
cellutone complex,1,0,normal,neutral,low,,,,
celosia,1,0,normal,neutral,low,,,,
celosia cristata flower extract,1,0,normal,good,low,,,,
centaurea cyanus,1,0,sensitive,good,medium,,,,
centaurea cyanus flower,1,0,normal,good,medium,,,,
centaurea cyanus flower extract,1,1,dry,good,high,INCI Decoder,centaurea-cyanus-flower-extract,,
centaurea cyanus flower water,1,1,dry,good,high,INCI Decoder,centaurea-cyanus-flower-water,,"Flower distillate coming from the beautiful blue flowers, commonly known as cornflower .  The flowers are traditionally used in European phytotherapy to treat smaller eye inflammations and contain polysaccharides (mainly galacturonic acid, arabinose, glucose, rhamnose, and galactose) with anti-inflammatory and soothing properties .  [more]"
centaurea nigra extract,1,0,dry; normal,good,medium,,,,
centaurium erythraea extract,1,0,normal,good,medium,,,,
centaurium erythraea flower extract,1,0,normal,good,medium,,,,
centella,1,0,sensitive; wrinkle,good,low,,,,
centella asiatica,1,0,sensitive; wrinkle,good,low,,,,
centella asiatica adventitious root extract,1,0,normal,good,medium,,,,
centella asiatica callus conditioned media,1,0,normal,good,medium,,,,
centella asiatica callus culture,1,0,normal,good,medium,,,,
centella asiatica callus culture lysate,1,0,normal,good,medium,,,,
centella asiatica callus extract,1,0,dry,good,medium,,,,
centella asiatica extract,1,0,sensitive; wrinkle,good,medium,,,,
centella asiatica leaf,1,0,normal,good,medium,,,,
centella asiatica leaf cell extract,1,0,normal,good,low,,,,
centella asiatica leaf extract,1,0,normal,good,low,,,,
centella asiatica leaf water,1,0,normal,good,medium,,,,
centella asiatica meristem cell culture,1,0,sensitive; wrinkle,good,low,,,,
centella asiatica meristem cell culture extract,1,0,dry; normal,good,medium,,,,
centella asiatica oil,1,0,dry; normal,good,medium,,,,
centella asiatica phytotechnologies,1,0,sensitive; wrinkle,good,low,,,,
centella asiatica root extract,1,0,normal,good,medium,,,,
centella asiaticameristem cell culture,1,0,sensitive; wrinkle,good,low,,,,
centella extract,1,0,sensitive; wrinkle,good,high,,,,
centella rx,1,0,sensitive; wrinkle,good,low,,,,
centella rx extract,1,0,dry; sensitive,good,low,,,,
centellaasiatica extract,1,0,normal,good,low,,,,
centellaasiaticaleafwater,1,0,dry,good,low,,,,
centipeda cunninghamii extract,1,0,normal,good,medium,,,,
centipeda cunninghamii leaf/stem extract,1,0,oily,good,medium,,,,
centipeda minima extract,1,0,dry; normal,good,medium,,,,
centotheca lappacea extract,1,0,normal,good,medium,,,,
centrimonium chloride,1,0,,neutral,low,,,,
centrimonium chloride extract,1,0,dry; sensitive,good,low,,,,
cephalin,1,0,dry,good,medium,,,,
cephalins,1,0,normal,good,medium,,,,
cer-amidenp,1,0,normal,neutral,low,,,,
cera alba,1,0,dry,good,medium,,,,
cera alba (beeswax,1,0,dry,good,low,,,,
cera alba beeswax cire d'abeille,1,0,dry,good,low,,,,
cera alba beeswax cire dabeille,1,0,dry,good,low,,,,
cera alba beeswax cire d’abeille,1,0,dry,good,low,,,,
cera alba cire d'abeille,1,0,dry,good,low,,,,
cera carnauba,1,0,normal,neutral,low,,,,
cera carnauba copernicia cerifera wax cire de carnauba,1,0,oily,good,low,,,,
cera carnauba extract,1,0,dry; sensitive,good,low,,,,
cera carnauba wax,1,0,dry,good,low,,,,
cera carnauba wax),1,0,dry,good,low,,,,
cera microcristallina,1,0,dry,good,medium,,,,
cera microcristallina microcrystalline wax,1,0,dry,good,low,,,,
ceraceomyces tessulatus mycelium extract,1,0,dry,good,medium,,,,
ceramic extract,1,0,normal,good,medium,,,,
ceramiclinide ag,1,0,normal,neutral,low,,,,
ceramiclinide ag extract,1,0,dry; sensitive,good,low,,,,
ceramide,1,0,dry; sensitive,good,medium,,,,
ceramide & peptide complex,1,0,dry; sensitive,good,medium,,,,
ceramide 1,1,0,dry; sensitive,good,medium,,,,
ceramide 1 a,1,0,normal,good,medium,,,,
ceramide 4,1,0,normal,good,medium,,,,
ceramide 5,1,0,normal,good,medium,,,,
ceramide 6 ii,1,0,normal,good,medium,,,,
ceramide ag,1,0,dry; sensitive,good,medium,,,,
ceramide ap,1,0,dry; sensitive; wrinkle,good,medium,,,,
ceramide as,1,0,dry; sensitive; wrinkle,good,medium,,,,
ceramide complex,1,0,dry; sensitive,good,medium,,,,
ceramide eop,1,0,dry; sensitive; wrinkle,good,medium,,,,
ceramide eos,1,0,dry; sensitive; wrinkle,good,medium,,,,
ceramide hydration gel,1,0,dry; sensitive,good,medium,,,,
ceramide iii,1,0,dry; sensitive,good,medium,,,,
ceramide ng,1,0,dry; sensitive; wrinkle,good,medium,,,,
ceramide ng dilaurate,1,0,dry; normal,good,medium,,,,
ceramide np,1,0,dry; sensitive; wrinkle,good,medium,,,,
ceramide np and squalane,1,0,dry,good,medium,,,,
ceramide ns,1,0,dry; sensitive; wrinkle,good,medium,,,,
ceramide ns dilaurate,1,0,normal,good,medium,,,,
ceramide precursors),1,0,dry; sensitive,good,medium,,,,
ceramide-3,1,0,,neutral,low,,,,
ceramide-encapsulated retinol,1,0,dry; sensitive,good,medium,,,,
ceramides,1,0,dry; sensitive; wrinkle,good,medium,,,,
ceramides and amino acids,1,0,dry; sensitive,good,medium,,,,
ceramides and fatty acids,1,0,dry; sensitive,good,medium,,,,
ceramides and hyaluronic acid,1,0,dry; sensitive,good,medium,,,,
ceramides and olive glycerides,1,0,dry; sensitive,good,medium,,,,
ceramides and panthenol,1,0,dry; sensitive,good,medium,,,,
ceramides ap and np,1,0,dry; sensitive,good,medium,,,,
ceramides complex,1,0,dry; sensitive,good,medium,,,,
ceramidin complex,1,0,normal,neutral,low,,,,
ceramium kondoi extract,1,0,dry; normal,good,medium,,,,
ceramium rubrum extract,1,0,dry; normal,good,medium,,,,
cerasus youkou flower extract,1,0,normal,good,medium,,,,
cerasus youkou flower powder,1,0,normal,good,medium,,,,
cerasus youkou leaf extract,1,0,normal,good,medium,,,,
cerasus youkou leaf powder,1,0,normal,good,medium,,,,
ceratoneis closterium extract,1,0,normal,good,medium,,,,
ceratonia siliqua fruit extract,1,0,normal,good,medium,,,,
ceratonia siliqua gum,1,0,,neutral,low,,,,
"ceratonia siliqua gum,sucrose",1,0,dry,good,low,,,,
ceratonia siliqua leaf extract,1,0,normal,good,medium,,,,
ceratonia siliqua seed extract,1,0,normal,good,medium,,,,
ceratoniasiliqua gum,1,0,,neutral,low,,,,
ceratostigma willmottianum flower extract,1,0,normal,good,medium,,,,
cerebrosides,1,0,dry; normal,good,medium,,,,
ceresin,1,0,,neutral,low,,,,
cereus grandiflorus extract,1,0,normal; oily,good,medium,,,,
cereus grandiflorus flower extract,1,0,normal,good,medium,,,,
cereus grandiflorus flower extract cactus flower extract,1,0,normal,good,low,,,,
cereus grandiflorus seed powder,1,0,normal; oily,good,medium,,,,
cereus hildmannianus extract,1,0,normal,good,medium,,,,
cereus jamacaru extract,1,0,dry; normal,good,medium,,,,
cereus jamacaru fruit juice,1,0,normal,good,medium,,,,
ceria/silica,1,0,oily,good,medium,,,,
ceria/silica talc,1,0,oily,good,medium,,,,
ceriporia lacerata ferment filtrate,1,0,normal,good,medium,,,,
ceriporia lacerata mycelium,1,0,normal,good,medium,,,,
cerium oxide,1,0,,neutral,low,,,,
cerium oxide extract,1,0,dry; sensitive,good,low,,,,
certified organic,1,0,,neutral,low,,,,
certified organic chamomile extract,1,0,sensitive; wrinkle,good,low,,,,
certified organic cultivation,1,0,normal,neutral,low,,,,
certified organic sage leaf extract,1,0,dry; wrinkle,good,low,,,,
cetamido lysinamido polyaspartic acid,1,0,normal,good,medium,,,,
ceteareth-12,1,0,,neutral,low,,,,
ceteareth-20,1,0,,neutral,low,,,,
ceteareth-25,1,0,,neutral,low,,,,
ceteareth-6 olivate,1,0,dry,good,medium,,,,
ceteareth-7 stearate,1,0,normal,good,medium,,,,
ceteareth–20,1,0,,neutral,low,,,,
cetearly alcohol,1,0,dry,good,low,,,,
cetearyl,1,0,,neutral,low,,,,
cetearyl alco-hol,1,0,,neutral,low,,,,
cetearyl alcoho,1,0,,neutral,low,,,,
cetearyl alcoho extract,1,0,dry; sensitive,good,low,,,,
cetearyl alcohol,1,0,dry,good,medium,,,,
cetearyl alcohol and ceteareth20,1,0,dry,good,low,,,,
cetearyl behenate,1,0,dry; normal,good,medium,,,,
cetearyl candelillate,1,0,dry; normal,good,medium,,,,
cetearyl dimethicone,1,0,dry,good,medium,,,,
cetearyl dimethicone/vinyl dimethicone crosspolymer,1,0,dry; normal,good,medium,,,,
cetearyl ethylhexanoate,1,0,dry,good,medium,,,,
cetearyl glucoside,1,0,,neutral,low,,,,
cetearyl isononanoate,1,0,,neutral,low,,,,
cetearyl methicone,1,0,dry,good,low,,,,
cetearyl nonanoate,1,0,dry,good,medium,,,,
cetearyl octanoate,1,0,dry,good,medium,,,,
cetearyl olivate,1,0,dry; oily,good,medium,,,,
cetearyl palmate,1,0,dry,good,medium,,,,
cetearyl palmitate,1,0,dry; normal,good,medium,,,,
cetearyl phosphate,1,0,normal,good,medium,,,,
cetearyl rice branate,1,0,normal,good,medium,,,,
cetearyl stearate,1,0,normal,good,medium,,,,
cetearyl wheat straw glycosides,1,0,,neutral,low,,,,
cetearylalcohol,1,0,dry,good,low,,,,
cetearylisononanoate,1,0,dry; sensitive,good,low,,,,
cetearylphosphate,1,0,oily; pigmentation,good,medium,,,,
ceteayl olivate,1,0,normal,neutral,low,,,,
ceteayl olivate extract,1,0,dry; sensitive,good,low,,,,
ceteth-10 phosphate,1,0,oily; pigmentation,good,medium,,,,
ceteth-10 stearate,1,0,normal,good,medium,,,,
ceteth-2,1,0,,neutral,low,,,,
ceteth-20,1,1,,neutral,low,INCI Decoder,ceteth-20,,
ceteth-20 phosphate,1,0,dry,good,medium,,,,
ceteth-25,1,0,,neutral,low,,,,
ceteth-3 stearate,1,0,normal,good,medium,,,,
ceteth-4 stearate,1,0,normal,good,medium,,,,
ceteth-5,1,0,,neutral,low,,,,
ceteth-5 stearate,1,0,normal,good,medium,,,,
ceteth-7 stearate,1,0,normal,good,medium,,,,
ceteth-9 stearate,1,0,normal,good,medium,,,,
cetheth-20 phosphate,1,0,oily; pigmentation,good,medium,,,,
cetraria islandica extract,1,0,dry; sensitive,good,medium,,,,
cetraria islandica thallus extract,1,0,dry; normal,good,medium,,,,
cetrimonium bromide,1,0,normal,neutral,low,,,,
